tconst,primaryTitle,averageRating,numVotes,startYear,genres
tt0035423,Kate & Leopold,6.4,87747,2001,"Comedy,Fantasy,Romance"
tt0069049,The Other Side of the Wind,6.7,7853,2018,Drama
tt0082328,Embodiment of Evil,5.9,1753,2008,Horror
tt0090665,Halfaouine: Boy of the Terraces,6.7,1927,1990,"Comedy,Drama"
tt0094997,Demonia,4.6,1918,1990,"Horror,Mystery"
tt0095111,The Escape,7.8,1041,1991,"Action,Crime,Drama"
tt0096786,Alienator,3.2,1795,1990,"Action,Drama,Fantasy"
tt0096871,Baby Blood,6.0,2236,1990,Horror
tt0096875,Catchfire,5.3,4383,1990,"Action,Comedy,Crime"
tt0097004,Caged Fury,3.9,1169,1990,Action
tt0097106,A Tale of Springtime,7.1,5510,1990,"Comedy,Drama,Romance"
tt0097253,Deja vu,7.5,1497,1990,"Comedy,Crime,History"
tt0097365,Flesh Gordon Meets the Cosmic Cheerleaders,3.7,1674,1990,"Comedy,Sci-Fi"
tt0097416,Kadhalan,7.1,2098,1994,"Action,Drama,Romance"
tt0097550,I Bought a Vampire Motorcycle,5.5,1439,1990,"Comedy,Crime,Fantasy"
tt0097573,In the Cold of the Night,4.6,1752,1990,"Drama,Mystery,Thriller"
tt0097769,The Local Stigmatic,5.6,1647,1990,Drama
tt0097775,The Master,5.7,2950,1992,"Action,Comedy,Crime"
tt0097851,Mathilukal,8.3,1586,1990,"Drama,Romance"
tt0097874,Metamorphosis,4.0,1052,1990,"Horror,Sci-Fi"
tt0097884,May Fools,7.2,3353,1990,"Comedy,Romance"
tt0097910,Moon 44,5.0,5581,1990,"Action,Sci-Fi,Thriller"
tt0098063,Paprika,5.5,4488,1991,Drama
tt0098136,Prom Night III: The Last Kiss,4.6,2469,1990,"Comedy,Horror"
tt0098486,The Death King,6.4,2748,1990,"Drama,Horror"
tt0098532,The Match Factory Girl,7.5,10510,1990,"Comedy,Crime,Drama"
tt0098606,The Voice of the Moon,6.3,3204,1990,"Comedy,Drama"
tt0098961,Les 1001 nuits,5.4,1016,1990,"Adventure,Comedy,Fantasy"
tt0098966,Three Men and a Little Lady,5.5,26056,1990,"Comedy,Drama,Family"
tt0098967,Boiling Point,6.7,7319,1990,"Action,Comedy,Crime"
tt0098987,The Adventures of Ford Fairlane,6.4,18929,1990,"Action,Adventure,Comedy"
tt0098994,"After Dark, My Sweet",6.5,4028,1990,"Crime,Drama,Mystery"
